SI,DateAndTime,SolarPower,DayGenneration,TotalGenneration,CUF,,
1,15-12-2023 16:30,0.13,0,3670.2,0,,
2,15-12-2023 16:35,0.1,0,3670.2,0,,
3,15-12-2023 16:40,0.09,0,3670.2,0,,
4,15-12-2023 16:45,0.09,0,3670.2,0,,
5,15-12-2023 16:50,8.19,0.7,3670.9,0.04,,
6,15-12-2023 16:55,7.41,1.3,3671.5,0.07,,
7,15-12-2023 17:00,6.49,2,3672.2,0.1,,
8,15-12-2023 17:05,5.54,2.4,3672.6,0.13,,
9,15-12-2023 17:10,4.71,2.9,3673.1,0.15,,
10,15-12-2023 17:15,3.83,3.2,3673.4,0.17,,
11,15-12-2023 17:20,3.05,3.6,3673.8,0.19,,
12,15-12-2023 17:25,2.57,3.9,3674.1,0.2,,
13,15-12-2023 17:30,2.13,4,3674.2,0.21,,
14,15-12-2023 17:35,1.76,4.1,3674.3,0.21,,
15,15-12-2023 17:40,1.38,4.3,3674.5,0.22,,
16,15-12-2023 17:45,0.99,4.4,3674.6,0.23,,
17,15-12-2023 17:50,0.62,4.4,3674.6,0.23,,
18,15-12-2023 17:55,0.34,4.4,3674.6,0.23,,
19,15-12-2023 18:00,0.14,4.4,3674.6,0.23,,
20,15-12-2023 18:05,0,4.4,3674.6,0.23,,
21,15-12-2023 18:10,0,4.4,3674.6,0.23,,
22,15-12-2023 18:15,0,4.4,3674.6,0.23,,
23,15-12-2023 18:20,0,4.4,3674.6,0.23,,
24,15-12-2023 18:25,0,4.4,3674.6,0.23,,
25,15-12-2023 18:30,0,4.4,3674.6,0.23,,
26,15-12-2023 18:35,0,4.4,3674.6,0.23,,
27,15-12-2023 18:40,0,4.4,3674.6,0.23,,
28,15-12-2023 18:45,0,4.4,3674.6,0.23,,
29,15-12-2023 18:50,0,4.4,3674.6,0.23,,
30,15-12-2023 18:55,0,4.4,3674.6,0.23,,
31,16-12-2023 06:00,0,0,3674.6,0,,
32,16-12-2023 06:05,0,0,3674.6,0,,
33,16-12-2023 06:10,0,0,3674.6,0,,
34,16-12-2023 06:15,0,0,3674.6,0,,
35,16-12-2023 06:20,0,0,3674.6,0,,
36,16-12-2023 06:25,0,0,3674.6,0,,
37,16-12-2023 06:30,0,0,3674.6,0,,
38,16-12-2023 06:35,0,0,3674.6,0,,
39,16-12-2023 06:40,0,0,3674.6,0,,
40,16-12-2023 06:45,0,0,3674.6,0,,
41,16-12-2023 06:50,0,0,3674.6,0,,
42,16-12-2023 06:55,0,0,3674.6,0,,
43,16-12-2023 07:00,0.08,0,3674.6,0,,
44,16-12-2023 07:05,0.3,0,3674.6,0,,
45,16-12-2023 07:10,0.44,0,3674.6,0,,
46,16-12-2023 07:15,0.81,0,3674.6,0,,
47,16-12-2023 07:20,0.94,0.1,3674.7,0.01,,
48,16-12-2023 07:25,1.84,0.1,3674.7,0.01,,
49,16-12-2023 07:30,2.37,0.4,3675,0.02,,
50,16-12-2023 07:35,3.03,0.5,3675.1,0.03,,
51,16-12-2023 07:40,3.75,0.8,3675.4,0.04,,
52,16-12-2023 07:45,4.32,1.1,3675.7,0.06,,
53,16-12-2023 07:50,4.91,1.5,3676.1,0.08,,
54,16-12-2023 07:55,5.7,2,3676.6,0.1,,
55,16-12-2023 08:00,6.96,2.4,3677,0.13,,
56,16-12-2023 08:05,8.39,3.1,3677.7,0.16,,
57,16-12-2023 08:10,9.34,3.9,3678.5,0.2,,
58,16-12-2023 08:15,10.46,4.7,3679.3,0.24,,
59,16-12-2023 08:20,10.98,5.6,3680.2,0.29,,
60,16-12-2023 08:25,11.57,6.5,3681.1,0.34,,
61,16-12-2023 08:30,13.77,7.7,3682.3,0.4,,
62,16-12-2023 08:35,14.92,8.8,3683.4,0.46,,
63,16-12-2023 08:40,15.79,10.1,3684.7,0.53,,
64,16-12-2023 08:45,17.11,11.5,3686.1,0.6,,
65,16-12-2023 08:50,18.21,12.9,3687.5,0.67,,
66,16-12-2023 08:55,19.06,14.7,3689.3,0.77,,
67,16-12-2023 09:00,19.52,16.2,3690.8,0.84,,
68,16-12-2023 09:05,21.64,18,3692.6,0.94,,
69,16-12-2023 09:10,22.24,19.7,3694.3,1.03,,
70,16-12-2023 09:15,21.1,21.6,3696.2,1.13,,
71,16-12-2023 09:20,24.31,23.4,3698,1.22,,
72,16-12-2023 09:25,24.95,25.5,3700.1,1.33,,
73,16-12-2023 09:30,26.3,27.6,3702.2,1.44,,
74,16-12-2023 09:35,26.84,29.8,3704.4,1.55,,
75,16-12-2023 09:40,28.57,32.2,3706.8,1.68,,
76,16-12-2023 09:45,29.86,34.7,3709.3,1.81,,
77,16-12-2023 09:50,31.45,37.2,3711.8,1.94,,
78,16-12-2023 09:55,30.09,39.8,3714.4,2.07,,
79,16-12-2023 10:00,32.26,42.4,3717,2.21,,
80,16-12-2023 10:05,33.95,45.2,3719.8,2.35,,
81,16-12-2023 10:10,33.92,48,3722.6,2.5,,
82,16-12-2023 10:15,34.43,51,3725.6,2.66,,
83,16-12-2023 10:20,35.24,53.8,3728.4,2.8,,
84,16-12-2023 10:25,35.66,56.7,3731.3,2.95,,
85,16-12-2023 10:30,38.16,59.9,3734.5,3.12,,
86,16-12-2023 10:35,39.2,63.2,3737.8,3.29,,
87,16-12-2023 10:40,40.42,66.5,3741.1,3.46,,
88,16-12-2023 10:45,42.24,69.8,3744.4,3.64,,
89,16-12-2023 10:50,41.88,73.5,3748.1,3.83,,
90,16-12-2023 11:00,44.98,77,3751.6,4.01,,
91,16-12-2023 11:05,31.37,77.8,3752.4,4.05,,
92,16-12-2023 11:10,46.52,81.6,3756.2,4.25,,
93,16-12-2023 11:15,48.03,85.5,3760.1,4.45,,
